url,music_director,movie_name
./tamil_movie_songs_listen_download.asp?MovieId=5772, Radhan,Darling 2 
./tamil_movie_songs_listen_download.asp?MovieId=5767, T. R. Kuralarasan,Idhu Namma Aalu 
./tamil_movie_songs_listen_download.asp?MovieId=5752, Shyam L Raj,Aaram Arivu 
./tamil_movie_songs_listen_download.asp?MovieId=5743, Mathews Pulickan,2 Penkuttikal 
./tamil_movie_songs_listen_download.asp?MovieId=5741, Ilaiyaraaja,Oyee 
./tamil_movie_songs_listen_download.asp?MovieId=5739, Gopi Sunder,Bangalore Naatkal 
./tamil_movie_songs_listen_download.asp?MovieId=1644, Navin,Vil Ambu 
./tamil_movie_songs_listen_download.asp?MovieId=1697, John Peters,Sowkarpettai 
./tamil_movie_songs_listen_download.asp?MovieId=1640, Elango Kalaivanan,V (Murpagal Seiyin) 
./tamil_movie_songs_listen_download.asp?MovieId=1638, Anirudh Ravichander,Naanum Rowdydhaan 
./tamil_movie_songs_listen_download.asp?MovieId=1633, Thaman S,Saahasam 
./tamil_movie_songs_listen_download.asp?MovieId=1628, D.Imman,10 Endrathukulla (Single) 
./tamil_movie_songs_listen_download.asp?MovieId=1623, F.S. Faizal,Tharkappu 
./tamil_movie_songs_listen_download.asp?MovieId=1682, Sean Roldan,144 
./tamil_movie_songs_listen_download.asp?MovieId=1659, C.S.Sam,Mellisai 
./tamil_movie_songs_listen_download.asp?MovieId=1655, Justin Prabhakaran,Oru Naal Koothu 
./tamil_movie_songs_listen_download.asp?MovieId=1653, M Ghibran,Thoongavanam 
./tamil_movie_songs_listen_download.asp?MovieId=1651, Leon James,Ko 2 
./tamil_movie_songs_listen_download.asp?MovieId=1741, Hiphop Tamizha,Aranmanai 2 
./tamil_movie_songs_listen_download.asp?MovieId=1739, Harris Jayaraj,Gethu 
./tamil_movie_songs_listen_download.asp?MovieId=1734, Ved Shanker Sugavanam,Azhagu Kutti Chellam 
./tamil_movie_songs_listen_download.asp?MovieId=1727, Joshua Sridhar,Vellaiya Irukiravan Poi Solla Maatan 
./tamil_movie_songs_listen_download.asp?MovieId=1721, Sanjay Leela Bhansali,Bajirao Mastani 
./tamil_movie_songs_listen_download.asp?MovieId=1710, Anirudh Ravichander,Thangamagan 
./tamil_movie_songs_listen_download.asp?MovieId=4741, Santhosh Narayanan,Saala Khadoos 
./tamil_movie_songs_listen_download.asp?MovieId=3746, Nivas K Prasanna,Sethupathi 
./tamil_movie_songs_listen_download.asp?MovieId=3744, A.R.Rahman,Achcham Yenbadhu Madamaiyada (Thalli Pogathey) 
./tamil_movie_songs_listen_download.asp?MovieId=2749, Santhosh Narayanan,Irudhi Suttru 
./tamil_movie_songs_listen_download.asp?MovieId=2745, Mohammed Ali,Irandu Manam Vendum 
./tamil_movie_songs_listen_download.asp?MovieId=2738, S. Jayananthan,Kadhal Kaalam 
./tamil_movie_songs_listen_download.asp?MovieId=5851, Santhosh Narayanan,Kadhalum Kadanthu Pogum 
./tamil_movie_songs_listen_download.asp?MovieId=5828, D.Imman,Rajini Murugan (With Bonus Track) 
./tamil_movie_songs_listen_download.asp?MovieId=5803, Taj Noor,Nayyappudai 
./tamil_movie_songs_listen_download.asp?MovieId=5789, Vishal Chandrasekhar,Aagam 
./tamil_movie_songs_listen_download.asp?MovieId=5787," Vishal Chandrashekhar, Antony Dasan, Raghu Dixit, Rajesh Murugesan, Shameer Sultan",Aviyal 
./tamil_movie_songs_listen_download.asp?MovieId=5778, Sundar C Babu,Atti 
